Date,return_AAPL,return_AMZN,return_EBAY,return_GOOGL,return_INTC,return_QCOM,return_SPY
2019/7/30,-0.004292217,-0.007278581,-0.00457058,-0.011144726,-0.015425577,-0.002134227,-0.002454687
2019/7/31,0.020404215,-0.016723465,-0.004591638,-0.007980496,-0.022243752,-0.022055795,-0.010940436
2019/8/1,-0.02163913,-0.006138957,-0.002185021,-0.005270007,-0.020771494,-0.02679069,-0.008707921
2019/8/2,-0.021158126,-0.017290795,-0.012651971,-0.01275816,-0.016565657,-0.000702177,-0.007529511
2019/8/5,-0.052347847,-0.031871825,-0.043617568,-0.034748184,-0.035127342,-0.033028797,-0.030073092
2019/8/6,0.018930403,0.012860215,0.022674516,0.014141551,-0.000212944,-0.009157049,0.014022905
2019/8/7,0.010355289,0.003115547,0.000755908,0.004124465,-0.004897764,0.018043187,0.000590733
2019/8/8,0.022055869,0.022019622,0.038519611,0.02575019,0.00941575,0.026801152,0.019620078
2019/8/9,-0.011994239,-0.013808826,-0.022787855,-0.014334324,-0.025227858,0.00336792,-0.006811525
2019/8/12,-0.002537479,-0.01253605,-0.014140387,-0.012112056,-0.008264506,-0.023776182,-0.012173335
2019/8/13,0.042348385,0.022084979,0.031202766,0.018927186,0.027193028,0.034097377,0.015551709
2019/8/14,-0.029765038,-0.033645048,-0.032698902,-0.027140609,-0.020708817,-0.018010571,-0.029567576
2019/8/15,-0.004981485,0.007464738,-0.005045409,0.004354688,-0.003706082,0.003950438,0.002641775
2019/8/16,0.023594706,0.009261734,0.014705908,0.00845792,0.017505448,0.029791946,0.014755005
2019/8/19,0.018644107,0.01313759,0.009245352,0.018003562,0.015698925,0.021697653,0.01204771
2019/8/20,4.75E-05,-0.008116198,-0.008913098,-0.014086429,-0.013339022,0.016027741,-0.007662543
2019/8/21,0.010838562,0.012301699,0.008743493,0.006801625,0.011802661,0.008281806,0.008135462
2019/8/22,-0.000846464,-0.010353491,-0.009410624,-5.03E-05,-0.007847359,0.00586708,-0.000307837
2019/8/23,-0.046220501,-0.030498841,-0.032499975,-0.031841734,-0.038905516,-0.047051263,-0.025687438
2019/8/26,0.01899923,0.011002389,0.018087881,0.015256938,0.013345241,-0.008296967,0.011058431
2019/8/27,-0.011283839,-0.003979964,-0.010152335,-0.000307474,0.005048288,0.01453843,-0.003923628
2019/8/28,0.006710403,0.001373597,0.027948718,0.002502566,0,0.005137177,0.007041587
2019/8/29,0.016931815,0.012554924,0.010975281,0.01745686,0.023585892,0.028244775,0.01277293
2019/8/30,-0.001291766,-0.005659418,-0.00592149,-0.003106546,0.011521251,0.017266188,-0.000444237
2019/9/3,-0.01456361,0.007628218,-0.013651005,-0.017622386,-0.009069816,-0.03407476,-0.005847228
2019/9/4,0.016966495,0.006022901,-0.002516432,0.010875953,0.041294125,0.026224613,0.011350413
2019/9/5,0.019551584,0.022270094,0.029263371,0.025307181,0.024121015,0.024646544,0.012855387
2019/9/6,-9.38E-05,-0.003916924,-0.010539216,-0.004842471,0.016367266,-0.001899,0.000772215
2019/9/9,0.004267111,-0.001178087,0.02551407,-0.000870355,0.013157935,-0.00799083,0.000503352
2019/9/10,0.011813027,-0.005897249,-0.027294733,0.000356709,0.004458228,0.006393044,-0.000234765
2019/9/11,0.031795109,0.001340222,-0.009187931,0.011860371,0.018718661,0.015118829,0.007110975
2019/9/12,-0.002236236,0.011278207,0.009774411,0.012270468,0.004167399,-0.010262828,0.00346381
2019/9/13,-0.019454014,-0.002283683,0.001985555,0.004097313,-0.008866195,-0.008472407,-0.000663855
2019/9/16,0.005257106,-0.017125708,-0.001733961,-0.006774049,-0.00647126,-0.004718824,-0.003088751
2019/9/17,0.003638036,0.008136828,0.005707196,-0.001420881,-0.004789272,0.008329075,0.002532013
2019/9/18,0.009379284,-0.002792839,-0.004194375,0.002252268,-0.004042329,0.0026687,0.000598142
2019/9/19,-0.008124954,0.002222904,0.000991105,0.004948668,-0.003285698,-0.008491749,-6.65E-05
2019/9/20,-0.014618084,-0.015009589,-0.000990124,-0.007192762,-0.016482432,-0.02288126,-0.009299814
2019/9/23,0.004546934,-0.004938236,-0.002973216,0.003943582,0.003548916,0.010465672,-0.000234706
2019/9/24,-0.004754974,-0.024472113,-0.016898632,-0.013250278,-0.021218113,-0.026022722,-0.007846806
2019/9/25,0.0153896,0.015342109,-0.008088953,0.022662157,0.024086712,0.026983902,0.00591476
2019/9/26,-0.005157671,-0.016111241,-0.008155045,-0.002929437,-0.001960055,0.001164846,-0.002083177
2019/9/27,-0.004866033,-0.008270884,-0.014131527,-0.013153199,-0.002749391,-0.009308352,-0.005387226
2019/9/30,0.023535288,0.006062235,0.015897863,-0.003923436,0.014769595,-0.004567376,0.004637762
2019/10/1,0.00276821,-0.000149783,-0.011287814,-0.012398263,-0.014942771,-0.010618747,-0.01189473
2019/10/2,-0.025067849,-0.012917376,-0.009600493,-0.023283546,-0.026989737,-0.019610481,-0.017664685
2019/10/3,0.008494702,0.00653156,-0.00576361,0.00977147,0.012958089,0.02351676,0.00819279
2019/10/4,0.028031826,0.008831943,0.009486166,0.018101028,0.017789307,0.023240393,0.013532101
2019/10/7,0.000220255,-0.004018044,-0.01279042,-0.002237862,-0.005891575,-0.014840651,-0.004314656
2019/10/8,-0.011714983,-0.015669562,-0.013220518,-0.014996892,-0.017581964,-0.045716508,-0.015524731
2019/10/9,0.011720179,0.009662787,0.014201447,0.010309814,0.01508144,0.020590255,0.009496378
2019/10/10,0.013478377,-0.00100464,0.002113659,0.005879863,0.01248021,0.008338978,0.006763488
2019/10/11,0.02659834,0.006778065,0.016345874,0.005159277,0.01917431,0.023075843,0.010366966
2019/10/14,-0.001439448,0.002604052,-0.004928612,0.001694532,-0.008638913,-0.005215046,-0.001113767
2019/10/15,-0.002331742,0.017823897,0.013555787,0.020094081,0.01955854,0.019921323,0.009900297
2019/10/16,-0.004037107,0.005686411,0.001028729,0.000611806,-0.003798689,0.005268607,-0.001606032
2019/10/17,0.003882767,0.005654189,0.004367986,0.007884191,-0.011248808,0.009459261,0.002949078
2019/10/18,0.004802805,-0.016766605,-0.006907137,-0.00669701,-0.009641342,-0.01633533,-0.004377165
2019/10/21,0.017342718,0.016016992,0.011334312,-0.000104471,0.014992212,0.016735363,0.006779169
